x: 0.0, y: 0.0
[1725214311705] x: 0.0, y: 0.0
[1725214534607] x: 0.0, y: 0.0
[1725214534608] x: 0.0, y: 0.0
[1725214534608] x: 0.0, y: 0.0
[1725214534608] x: 0.0, y: 0.0
[1725214534608] x: 0.0, y: 0.0
[1725214534608] x: 0.0, y: 0.0
[1725214534609] x: 0.0, y: 0.0
[1725214534609] x: 0.0, y: 0.0
[1725214534609] x: 0.0, y: 0.0
[1725214534609] x: 0.0, y: 0.0
[1725214534609] x: 0.0, y: 0.0
[1725214534609] x: 0.0, y: 0.0
[1725214534609] x: 0.0, y: 0.0
[1725214534609] x: 0.0, y: 0.0
[1725214534609] x: 0.0, y: 0.0
[1725214534609] x: 0.0, y: 0.0
[1725214534609] x: 0.0, y: 0.0
[1725214534609] x: 0.0, y: 0.0
[1725214534609] x: 0.0, y: 0.0
[1725214534609] x: 0.0, y: 0.0
[1725214534609] x: 0.0, y: 0.0
[1725214534609] x: 0.0, y: 0.0
[1725214593087] x: 0.0, y: 0.0
[1725214593098] x: 0.0, y: 0.0
[1725214593109] x: 0.0, y: 0.0
[1725214593120] x: 0.0, y: 0.0
[1725214593131] x: 0.0, y: 0.0
[1725214593142] x: 0.0, y: 0.0
[1725214593153] x: 0.0, y: 0.0
[1725214593164] x: 0.0, y: 0.0
[1725214593175] x: 0.0, y: 0.0
[1725214593186] x: 0.0, y: 0.0
[1725214593197] x: 0.0, y: 0.0
[1725214593208] x: 0.0, y: 0.0
[1725214593219] x: 0.0, y: 0.0
[1725214593230] x: 0.0, y: 0.0
[1725214593241] x: 0.0, y: 0.0
[1725214593252] x: 0.0, y: 0.0
[1725214593263] x: 0.0, y: 0.0
[1725214593274] x: 0.0, y: 0.0
[1725214593285] x: 0.0, y: 0.0
[1725214593296] x: 0.0, y: 0.0
[1725214593307] x: 0.0, y: 0.0
[1725214593318] x: 0.0, y: 0.0
[1725214593329] x: 0.0, y: 0.0
[1725214593340] x: 0.0, y: 0.0
[1725214593351] x: 0.0, y: 0.0
[1725214593362] x: 0.0, y: 0.0
[1725214593373] x: 0.0, y: 0.0
[1725214593384] x: 0.0, y: 0.0
